PermID,OrgName,ID,Stock
https://permid.org/1-4295877626,Hanwa Co Ltd,2,8078
https://permid.org/1-4295878957,TS Tech Co Ltd,3,7313
https://permid.org/1-5000060796,SG Holdings Co Ltd,4,9143
https://permid.org/1-4295880428,Mixi Inc,5,2121
https://permid.org/1-5035525095,Solasia Pharma KK,6,4597
https://permid.org/1-4295879959,Ferrotec Holdings Corp,7,6890
https://permid.org/1-4295880535,Citizen Watch Co Ltd,8,7762
https://permid.org/1-4295878653,Maruwa Co Ltd,9,5344
https://permid.org/1-4295878534,Azbil Corp,10,6845
https://permid.org/1-4295876933,Nihon Unisys Ltd,11,8056
https://permid.org/1-4295880605,Tohoku Electric Power Co Inc,12,9506
https://permid.org/1-4295879348,KeyHolder Inc,13,4712
,,14,1320
https://permid.org/1-4298007773,Japan Exchange Group Inc,15,8697
https://permid.org/1-4295877974,Takasago Thermal Engineering Co Ltd,16,1969
https://permid.org/1-4295877415,Yokohama Rubber Co Ltd,17,5101
https://permid.org/1-4295877056,Suzuken Co Ltd,18,9987
https://permid.org/1-4295877728,Keio Corp,19,9008
https://permid.org/1-4295880234,Tsuruha Holdings Inc,20,3391
https://permid.org/1-4295879695,Harmonic Drive Systems Inc,21,6324
https://permid.org/1-4295879777,Seiko Epson Corp,22,6724
https://permid.org/1-4295880495,Casio Computer Co Ltd,23,6952
https://permid.org/1-4295878928,J.Front Retailing Co Ltd,24,3086
https://permid.org/1-5000069775,Zenkoku Hosho Co Ltd,25,7164
https://permid.org/1-4295880421,Hirata Corp,26,6258
https://permid.org/1-4295877453,Fuji Media Holdings Inc,27,4676
https://permid.org/1-4295878558,Toyo Suisan Kaisha Ltd,28,2875
https://permid.org/1-4295876282,Goldwin Inc,29,8111
https://permid.org/1-4295880697,Kawasaki Kisen Kaisha Ltd,30,9107
https://permid.org/1-4295880608,77 Bank Ltd,31,8341
https://permid.org/1-4295878829,Aeon Mall Co Ltd,32,8905
https://permid.org/1-4295877019,Comture Corp,33,3844
https://permid.org/1-4295878326,Meiko Electronics Co Ltd,34,6787
https://permid.org/1-4295877304,Daiwa House Reit Investment Corp,35,8984
https://permid.org/1-4295880316,SMS Co Ltd,36,2175
https://permid.org/1-4295875905,Hakuhodo DY Holdings Inc,37,2433
https://permid.org/1-4295876111,Hitachi Transport System Ltd,38,9086
https://permid.org/1-4295880438,Recomm Co Ltd,39,3323
https://permid.org/1-4295877732,Keihan Holdings Co Ltd,40,9045
https://permid.org/1-4295878825,Infomart Corp,41,2492
https://permid.org/1-4295877726,Keikyu Corp,42,9006
https://permid.org/1-4298359593,Koei Tecmo Holdings Co Ltd,43,3635
https://permid.org/1-5042965186,Japan Investment Adviser Co Ltd,44,7172
https://permid.org/1-4295880356,Japan Communications Inc,45,9424
https://permid.org/1-4295877976,Takara Holdings Inc,46,2531
https://permid.org/1-5000060977,Izumi Co Ltd,47,8273
https://permid.org/1-4295878779,Tomy Co Ltd,48,7867
https://permid.org/1-5056443840,UUUM Co Ltd,49,3990
https://permid.org/1-4295877919,Sanwa Holdings Corp,50,5929
https://permid.org/1-4295877546,Amuse Inc,51,4301
https://permid.org/1-4295877416,Chiyoda Corp,52,6366
https://permid.org/1-4295878616,Sumitomo Bakelite Co Ltd,53,4203
https://permid.org/1-5000000989,Nippon Sheet Glass Co Ltd,54,5202
https://permid.org/1-4295878314,Askul Corp,55,2678
https://permid.org/1-4295877375,Mitsui E&S Holdings Co Ltd,56,7003
https://permid.org/1-4295877332,Hikari Tsushin Inc,57,9435
https://permid.org/1-4295877827,NOK Corp,58,7240
https://permid.org/1-4295877190,Ube Industries Ltd,59,4208
https://permid.org/1-4295876093,Alpine Electronics Inc,60,6816
https://permid.org/1-4295878809,Parco Co Ltd,61,8251
https://permid.org/1-4295876040,Credit Saison Co Ltd,62,8253
https://permid.org/1-4295877437,Prima Meat Packers Ltd,63,2281
https://permid.org/1-4295880717,Nitto Boseki Co Ltd,64,3110
https://permid.org/1-5044031169,Sekisui House Reit Inc,65,3309
https://permid.org/1-4295880576,Jtekt Corp,66,6473
https://permid.org/1-4295876070,Kabu.com Securities Co Ltd,67,8703
https://permid.org/1-5035957489,Trenders Inc,68,6069
https://permid.org/1-5046045145,Kyushu Financial Group Inc,69,7180
https://permid.org/1-4295879810,Medipal Holdings Corp,70,7459
https://permid.org/1-4295876925,Kumagai Gumi Co Ltd,71,1861
https://permid.org/1-4295877484,Sanix Inc,72,4651
https://permid.org/1-4295875939,Lintec Corp,73,7966
https://permid.org/1-4295878990,Ci:z Holdings Co Ltd,74,4924
https://permid.org/1-4295877914,Sanrio Co Ltd,75,8136
https://permid.org/1-4295877894,Rohto Pharmaceutical Co Ltd,76,4527
https://permid.org/1-4295878122,Sumitomo Rubber Industries Ltd,77,5110
https://permid.org/1-4295880469,Alfresa Holdings Corp,78,2784
https://permid.org/1-4295877975,Tadano Ltd,79,6395
https://permid.org/1-4295875961,Digital Garage Inc,80,4819
https://permid.org/1-4295878283,SKY Perfect JSAT Holdings Inc,81,9412
https://permid.org/1-4295879202,PALTAC Corp,82,8283
https://permid.org/1-4295877869,Odakyu Electric Railway Co Ltd,83,9007
